ts,taosd,conn,insert,query
1747585686927,37.7734375,19.2265625,21.6171875,24.04296875
1747585701928,106.26953125,38.74609375,25.140625,48.66015625
1747585716929,113.42578125,38.74609375,29.30859375,49.91015625
1747585731929,118.26953125,38.74609375,31.31640625,50.66015625
1747585746930,127.2421875,38.74609375,35.39453125,50.78515625
1747585761931,131.2578125,38.74609375,39.50390625,50.91015625
1747585776932,140.98046875,38.74609375,41.5078125,51.03515625
1747585791933,151.609375,38.74609375,41.5078125,51.16015625
1747585806933,161.56640625,38.74609375,41.5078125,51.78515625
1747585821934,164.34765625,38.74609375,41.5078125,51.78515625
1747585836935,165.87890625,38.74609375,41.5078125,51.91015625
1747585851935,166.1953125,38.74609375,41.5078125,51.91015625
1747585866936,168.8828125,38.74609375,41.6328125,52.16015625
1747585881937,175.7421875,38.74609375,41.6328125,52.28515625
1747585896938,203.08984375,38.74609375,41.6328125,52.28515625
1747585911939,211.1796875,38.74609375,41.6328125,54.40625
1747585926940,217.265625,38.74609375,41.6328125,54.40625
1747585941940,223.33203125,38.74609375,41.6328125,54.40625
1747585956941,226.0234375,38.74609375,41.6328125,54.40625
1747585971942,240.4765625,38.74609375,41.6328125,54.40625
1747585986943,251.64453125,38.74609375,41.6328125,54.40625
1747586001944,252.59375,38.74609375,41.7578125,54.40625
1747586016944,260.3203125,38.74609375,41.7578125,54.53125
1747586031945,265.54296875,38.74609375,41.7578125,54.65625
1747586046946,271.66015625,38.74609375,41.7578125,54.65625
1747586061947,281.6875,38.74609375,41.7578125,54.78125
1747586076947,284.484375,38.87109375,41.8828125,54.78125
1747586091948,293.36328125,38.87109375,41.8828125,54.78125
1747586106949,299.25,38.87109375,41.8828125,54.78125
1747586121950,321.61328125,38.87109375,41.8828125,56.8125
1747586136951,329.20703125,38.87109375,41.8828125,56.9375
1747586151951,331.6796875,38.87109375,41.8828125,59.26171875
1747586166952,340.08203125,38.87109375,41.8828125,59.26171875
1747586181953,333.53125,38.87109375,41.8828125,59.26171875
1747586196954,345.73046875,38.87109375,41.8828125,61.5859375
1747586211955,341.73828125,41.99609375,41.8828125,61.7109375
1747586226956,349.0,41.99609375,41.8828125,65.00390625
1747586241956,340.11328125,41.99609375,41.8828125,67.00390625
1747586256957,335.015625,41.99609375,43.8828125,69.046875
1747586271958,340.59765625,41.99609375,43.8828125,69.046875
1747586286959,345.46484375,41.99609375,43.8828125,69.046875
1747586301960,348.51953125,41.99609375,43.8828125,71.09765625
1747586316961,350.640625,41.99609375,43.8828125,71.09765625
1747586331962,351.0625,41.99609375,43.8828125,73.1640625
1747586346963,368.3359375,41.99609375,43.8828125,73.2890625
1747586361964,368.75390625,41.99609375,43.8828125,75.4296875
1747586376965,377.328125,41.99609375,44.0078125,75.4296875
1747586391966,379.28515625,41.99609375,44.0078125,75.4296875
1747586406967,379.43359375,41.99609375,44.0078125,75.4296875
1747586421968,379.6796875,41.99609375,44.0078125,75.4296875
1747586436969,379.84375,41.99609375,44.0078125,75.5546875
1747586451970,366.09765625,41.99609375,44.0078125,76.1796875
1747586466971,382.30859375,41.99609375,44.0078125,76.1796875
1747586481971,382.1953125,41.99609375,44.0078125,76.3046875
1747586496972,382.25,41.99609375,44.0078125,76.3046875
1747586511973,383.2421875,41.99609375,44.0078125,76.3046875
1747586526974,384.92578125,41.99609375,44.0078125,76.4296875
1747586541975,385.28515625,41.99609375,44.0078125,76.4296875
1747586556977,385.1875,41.99609375,44.0078125,76.4296875
1747586571978,384.8671875,41.99609375,44.0078125,76.5546875
1747586586979,386.94140625,41.99609375,44.0078125,76.6796875
1747586601980,389.0078125,41.99609375,44.0078125,76.6796875
1747586616981,389.00390625,41.99609375,44.0078125,76.6796875
1747586631982,389.109375,41.99609375,44.0078125,76.6796875
1747586646982,395.3515625,41.99609375,44.0078125,76.6796875
1747586661984,398.8671875,42.24609375,44.0078125,76.6796875
1747586676985,398.953125,42.24609375,44.0078125,76.6796875
1747586691986,398.76953125,42.24609375,44.0078125,76.6796875
1747586706986,398.6171875,42.24609375,44.0078125,76.6796875
1747586721987,398.99609375,42.24609375,44.0078125,76.6796875
1747586736988,398.93359375,42.24609375,44.0078125,76.6796875
1747586751989,398.92578125,42.24609375,44.0078125,76.8046875
1747586766990,399.12890625,42.24609375,44.0078125,76.8046875
1747586781990,400.5234375,42.24609375,44.1328125,76.8046875
1747586796992,400.546875,42.24609375,44.1328125,76.8046875
1747586811992,401.6796875,42.24609375,44.1328125,76.8046875
1747586826993,403.52734375,42.24609375,44.1328125,76.8046875
1747586841994,403.40234375,42.24609375,44.1328125,76.8046875
1747586856998,404.21484375,42.24609375,44.1328125,76.8046875
1747586871998,404.53125,42.24609375,44.1328125,76.9296875
1747586886999,406.859375,42.24609375,44.1328125,76.9296875
1747586902001,406.875,42.24609375,44.1328125,76.9296875
1747586917001,406.515625,42.24609375,44.1328125,76.9296875
1747586932002,408.6875,42.24609375,44.1328125,76.9296875
1747586947003,408.73828125,42.24609375,44.1328125,76.9296875
1747586962004,405.9296875,42.24609375,44.1328125,76.9296875
1747586977005,408.92578125,42.24609375,44.1328125,77.0546875
1747586992006,409.1171875,42.24609375,44.1328125,77.0546875
1747587007006,408.19140625,42.24609375,44.1328125,77.0546875
1747587022007,408.56640625,42.24609375,44.1328125,77.0546875
1747587037008,408.28125,42.24609375,44.1328125,77.5546875
1747587052009,409.45703125,42.24609375,44.1328125,77.5546875
1747587067010,409.8125,42.24609375,44.1328125,77.5546875
1747587082011,409.8984375,42.24609375,44.1328125,77.5546875
1747587097011,410.12890625,42.24609375,44.1328125,77.5546875
1747587112012,413.2734375,42.24609375,44.1328125,77.5546875
1747587127013,416.421875,42.24609375,44.1328125,77.5546875
1747587142014,416.61328125,42.24609375,44.1328125,77.5546875
1747587157015,416.265625,42.24609375,44.1328125,77.5546875
1747587172016,416.34765625,42.24609375,44.1328125,77.5546875
1747587187016,416.32421875,42.24609375,44.1328125,77.5546875
1747587202017,415.18359375,42.24609375,44.1328125,77.5546875
1747587217018,413.96484375,42.24609375,44.1328125,77.6796875
1747587232019,395.72265625,42.24609375,44.1328125,78.1796875
1747587247020,413.09765625,42.24609375,44.1328125,78.1796875
1747587262021,413.44140625,42.24609375,44.1328125,78.1796875
1747587277022,413.03515625,42.24609375,44.1328125,78.1796875
1747587292022,412.0390625,42.24609375,44.1328125,78.1796875
1747587307023,411.953125,42.24609375,44.1328125,78.1796875
1747587322024,411.9765625,42.24609375,44.1328125,78.1796875
1747587337025,411.86328125,42.24609375,44.1328125,78.1796875
1747587352025,411.94140625,42.24609375,44.2578125,78.1796875
1747587367026,411.93359375,42.24609375,44.2578125,78.6796875
1747587382027,412.21484375,42.24609375,44.2578125,78.8046875
1747587397028,412.00390625,42.24609375,44.2578125,78.8046875
1747587412029,411.9296875,42.24609375,44.2578125,79.3046875
1747587427030,411.44921875,42.24609375,44.2578125,79.4296875
1747587442031,411.76953125,42.24609375,44.2578125,79.4296875
1747587457032,412.1328125,42.24609375,44.2578125,79.4296875
1747587472033,412.90625,42.24609375,44.2578125,79.4296875
1747587487034,409.63671875,42.24609375,44.2578125,79.4296875
1747587502035,415.046875,42.24609375,44.2578125,79.4296875
1747587517035,416.1484375,42.24609375,44.2578125,79.4296875
1747587532036,416.34375,42.24609375,44.2578125,79.4296875
1747587547037,417.53515625,42.24609375,44.2578125,79.4296875
1747587562038,417.484375,42.24609375,44.2578125,79.4296875
1747587577039,417.5234375,42.24609375,44.2578125,79.4296875
1747587592040,417.46875,42.24609375,44.2578125,79.4296875
1747587607041,417.5390625,42.24609375,44.2578125,79.4296875
1747587622042,417.60546875,42.24609375,44.2578125,79.4296875
1747587637043,417.5,42.24609375,44.5078125,79.4296875
1747587652044,417.81640625,42.24609375,44.5078125,79.4296875
1747587667045,417.45703125,42.24609375,44.5078125,79.4296875
1747587682046,417.578125,42.24609375,44.5078125,79.4296875
1747587697046,417.55078125,42.24609375,44.5078125,79.4296875
1747587712048,417.296875,42.24609375,44.5078125,79.4296875
1747587727048,417.6796875,42.24609375,44.5078125,79.4296875
1747587742049,417.046875,42.24609375,44.5078125,79.4296875
1747587757050,390.31640625,42.24609375,44.5078125,79.9296875
1747587772051,415.34765625,42.24609375,44.5078125,79.9296875
1747587787052,414.25390625,42.24609375,44.5078125,79.9140625
1747587802053,414.3203125,42.24609375,44.5078125,79.9140625
1747587817054,414.23828125,42.24609375,44.5078125,80.015625
1747587832055,415.75,42.24609375,44.5078125,80.015625
1747587847055,415.96875,42.24609375,44.5078125,80.015625
1747587862056,417.04296875,42.24609375,44.5078125,80.015625
1747587877057,416.8984375,42.24609375,44.5078125,80.015625
1747587892058,419.359375,42.24609375,44.5078125,80.015625
1747587907059,419.390625,42.24609375,44.5078125,80.015625
1747587922060,419.453125,42.24609375,44.5078125,80.015625
1747587937061,419.54296875,42.24609375,44.5078125,80.015625
1747587952062,419.7890625,42.24609375,44.5078125,80.515625
1747587967063,419.0390625,42.24609375,44.5078125,80.515625
1747587982064,419.0546875,42.24609375,44.5078125,80.515625
1747587997065,418.12109375,42.24609375,44.5078125,80.515625
1747588012065,419.6171875,42.24609375,44.5078125,80.94921875
1747588027066,419.3515625,42.24609375,44.5078125,80.94921875
1747588042067,420.63671875,42.24609375,44.5078125,81.57421875
1747588057068,420.578125,42.24609375,44.5078125,81.57421875
1747588072069,420.765625,42.24609375,44.5078125,81.57421875
1747588087069,420.62890625,42.24609375,44.5078125,81.57421875
1747588102071,420.7578125,42.24609375,44.5078125,81.57421875
1747588117071,420.42578125,42.24609375,44.5078125,81.57421875
1747588132072,420.45703125,42.24609375,44.5078125,81.57421875
1747588147073,419.80078125,42.24609375,44.5078125,81.57421875
1747588162075,419.9140625,42.24609375,44.5078125,81.57421875
1747588177076,419.9140625,42.37109375,44.5078125,81.57421875
1747588192077,419.80859375,42.37109375,44.5078125,81.57421875
1747588207077,420.2421875,42.37109375,44.5078125,81.57421875
1747588222078,420.66015625,42.37109375,44.5078125,82.07421875
1747588237079,421.4140625,42.37109375,44.5078125,82.07421875
1747588252080,422.54296875,42.37109375,44.5078125,82.07421875
